city,min_longitude,min_latitude,max_longitude,max_latitude
New York,-74.25909,40.477399,-73.700009,40.917577
Los Angeles,-118.668176,33.703652,-118.155289,34.337306
Chicago,-87.940101,41.644286,-87.52366099999999,42.023134999999996
Houston,-95.836717,29.515925,-95.014608,30.155908
Philadelphia,-75.280266,39.867004,-74.95576299999999,40.137992
Phoenix,-112.324065,33.290259999999996,-111.92541,33.918391
San Antonio,-98.81344999999999,29.230895,-98.222708,29.731074999999997
San Diego,-117.309797,32.534870999999995,-116.905723,33.114185
Dallas,-97.00048199999999,32.613216,-96.46372099999999,33.023792
San Jose,-122.045672,37.125515,-121.589153,37.469167999999996
Austin,-97.938383,30.098679999999998,-97.561489,30.516862999999997
Jacksonville,-82.04950199999999,30.103748,-81.316712,30.586232
Indianapolis city (balance),-86.328121,39.632177,-85.93737899999999,39.927392
San Francisco,-123.173825,37.639829999999996,-122.28178,37.929823999999996
Columbus,-83.21025399999999,39.808693999999996,-82.771378,40.157292999999996
Fort Worth,-97.600078,32.550588999999995,-97.033715,33.049164
Charlotte,-81.009554,35.010518,-80.651516,35.400203
Detroit,-83.287803,42.255192,-82.910451,42.45023
El Paso,-106.635922,31.621356,-106.199979,32.001630999999996
Memphis,-90.303051,34.994188,-89.63708899999999,35.263978
Boston,-71.191155,42.227926,-70.748802,42.400819999999996
Seattle,-122.459774,47.481719999999996,-122.224433,47.734145
Denver,-105.109927,39.614422999999995,-104.600302,39.914246999999996
Washington,-77.119759,38.791644999999995,-76.909393,38.995844999999996
Nashville-Davidson metropolitan government (balance),-87.054766,35.967785,-86.51558899999999,36.405496
Baltimore,-76.711519,39.197207,-76.52945299999999,39.372206
Louisville/Jefferson County metro government (balance),-85.947114,37.997209999999995,-85.404899,38.380263
Portland,-122.83675,45.432393,-122.472021,45.653272
Oklahoma City,-97.833675,35.290544,-97.12471599999999,35.674875
Milwaukee,-88.070932,42.920823,-87.863592,43.194772
Las Vegas,-115.406575,36.129554,-115.062164,36.380894999999995
Albuquerque,-106.881796,34.946766,-106.471163,35.217979
Tucson,-111.058797,31.990506,-110.706191,32.320910999999995
Fresno,-119.934397,36.662161999999995,-119.650509,36.911536
Sacramento,-121.56012,38.437574,-121.36274,38.685603
Long Beach,-118.248966,33.732742,-118.063162,33.885459
Kansas City,-94.765917,38.824259,-94.385522,39.356662
Mesa,-111.894886,33.277383,-111.580636,33.513433
Virginia Beach,-76.22806,36.550283,-75.79749699999999,37.040886
Atlanta,-84.551068,33.647808,-84.28956,33.886823
Colorado Springs,-104.917822,38.715706999999995,-104.596685,39.035264
Raleigh,-78.81904899999999,35.70825,-78.470789,35.970784
Omaha,-96.26820000000001,41.190548,-95.871141,41.39317
Miami,-80.31976,25.709042,-80.132179,25.855786
Oakland,-122.355881,37.631713999999995,-122.11479299999999,37.885438
Tulsa,-96.074478,35.968097,-95.681597,36.336506
Minneapolis,-93.329163,44.889787,-93.194023,45.051249999999996
Cleveland,-81.878984,41.390628,-81.532744,41.604436
Wichita,-97.734265,37.489132,-97.152912,37.804750999999996
Arlington,-97.233818,32.586565,-97.03719099999999,32.817121
